lncRNA,target
ABHD15-AS1,ARHGAP21
ABHD15-AS1,ARID4B
ABHD15-AS1,APPBP2
ABHD15-AS1,ASRGL1
ABHD15-AS1,ARMCX3
ABHD15-AS1,ARIH2
ABHD15-AS1,ARPP21
ABHD15-AS1,ATF4
ABHD15-AS1,ARHGEF4
ABHD15-AS1,ARHGAP23
ABHD15-AS1,ARHGEF7
ABHD15-AS1,ATF6B
ABHD15-AS1,ARMH3
ABHD15-AS1,ARL17B
ABHD15-AS1,ASIC2
ABHD15-AS1,ARK2N
ABHD15-AS1,ARL5A
ABHD15-AS1,ARHGAP6
ABHD15-AS1,ATG10
ABHD15-AS1,ATG5
ABHD15-AS1,ARFGEF1
ABHD15-AS1,ARAP2
ABHD15-AS1,ATG4B
ABHD15-AS1,ARSB
ABHD15-AS1,ATF7IP2
ABHD15-AS1,ARHGEF28
ABHD15-AS1,ARMH4
ABHD15-AS1,ATE1
ABHD15-AS1,ATP1B3
ABHD15-AS1,ATP5F1C
ABHD15-AS1,ARPP19
ABHD15-AS1,ATP5F1D
ABHD15-AS1,ATOX1
ABHD15-AS1,ATP5F1B
ABHD15-AS1,ATP1A1
ABHD15-AS1,ATP5ME
ABHD15-AS1,ATP5MK
ABHD15-AS1,ATCAY
ABHD15-AS1,ATP5IF1
ABHD15-AS1,ATP1A3
ABHD15-AS1,ARID2
ABHD15-AS1,ARHGEF11
ABHD15-AS1,ARID1A
ABHD15-AS1,ATL1
ABHD15-AS1,ATP5MC2
ABHD15-AS1,ATP5PF
ABHD15-AS1,ATP5MC1
ABHD15-AS1,ATP5MJ
ABHD15-AS1,ASAP2
ABHD15-AS1,ARHGEF9
ABHD15-AS1,ATP1B2
ABHD15-AS1,ATP5MC3
ABHD15-AS1,ATP6V1F
ABHD15-AS1,ATP5F1E
ABHD15-AS1,ATP13A2
ABHD15-AS1,ARMCX4
ABHD15-AS1,ATP6V1D
ABHD15-AS1,ATP5PD
ABHD15-AS1,ATP6V0B
ABHD15-AS1,ATN1
ABHD15-AS1,ARHGAP10
ABHD15-AS1,ASTN1
ABHD15-AS1,ATOSA
ABHD15-AS1,ATP5PB
ABHD15-AS1,ATP6V1H
ABHD15-AS1,ATP5MG
ABHD15-AS1,APBB2
ABHD15-AS1,ASAP1
ABHD15-AS1,ARID5B
ABHD15-AS1,ARHGAP42
ABHD15-AS1,ATP2C1
ABHD15-AS1,AUH
ABHD15-AS1,AURKAIP1
ABHD15-AS1,ARNT2
ABHD15-AS1,ASPH
ABHD15-AS1,AUP1
ABHD15-AS1,ATP6V0D1
ABHD15-AS1,ATP6AP2
ABHD15-AS1,ARK2C
ABHD15-AS1,B3GAT3
ABHD15-AS1,ATAD2B
ABHD15-AS1,B2M
ABHD15-AS1,ATXN10
ABHD15-AS1,B4GAT1
ABHD15-AS1,ATP1A2
ABHD15-AS1,ATP6V0E2
ABHD15-AS1,ASTN2
ABHD15-AS1,ARPC5
ABHD15-AS1,ATP6AP1
ABHD15-AS1,BABAM2
ABHD15-AS1,BANF1
ABHD15-AS1,ARRB1
ABHD15-AS1,ATP6V1A
ABHD15-AS1,ATPAF1
ABHD15-AS1,AZI2
ABHD15-AS1,AZIN1
ABHD15-AS1,BAALC
ABHD15-AS1,BASP1
ABHD15-AS1,BBLN
ABHD15-AS1,ARMC9
ABHD15-AS1,BANP
ABHD15-AS1,B4GALNT4
ABHD15-AS1,BAIAP2L2
ABHD15-AS1,ATP5F1A
ABHD15-AS1,BCAP31
ABHD15-AS1,ATXN2
ABHD15-AS1,ATXN7L1
ABHD15-AS1,B3GLCT
ABHD15-AS1,ATP1B1
ABHD15-AS1,ATF6
ABHD15-AS1,BAIAP2
ABHD15-AS1,ASCC3
ABHD15-AS1,BEX2
ABHD15-AS1,B4GALT5
ABHD15-AS1,BBS9
ABHD15-AS1,B4GALT6
ABHD15-AS1,ASXL1
ABHD15-AS1,BEX3
ABHD15-AS1,BAG4
ABHD15-AS1,BCAN
ABHD15-AS1,BEX4
ABHD15-AS1,BBS7
ABHD15-AS1,BCAS3
ABHD15-AS1,ATXN7
ABHD15-AS1,BCL2L1
ABHD15-AS1,ATP13A4
ABHD15-AS1,BCKDHB
ABHD15-AS1,ATP8B1
ABHD15-AS1,B4GALNT1
ABHD15-AS1,ATP9A
ABHD15-AS1,ATP6V0A1
ABHD15-AS1,AZIN2
ABHD15-AS1,BAZ1B
ABHD15-AS1,BMERB1
ABHD15-AS1,BEND6
ABHD15-AS1,ATP8A1
ABHD15-AS1,ATP11B
ABHD15-AS1,ATR
ABHD15-AS1,B3GAT1
ABHD15-AS1,BCAS1
ABHD15-AS1,BACH1
ABHD15-AS1,BNIP3
ABHD15-AS1,BICDL1
ABHD15-AS1,ATRN
ABHD15-AS1,ATXN3
ABHD15-AS1,BLCAP
ABHD15-AS1,B3GAT2
ABHD15-AS1,ATF7IP
ABHD15-AS1,BCL2L13
ABHD15-AS1,BRF1
ABHD15-AS1,ATP9B
ABHD15-AS1,BSG
ABHD15-AS1,BICC1
ABHD15-AS1,ATP2A2
ABHD15-AS1,BMPER
ABHD15-AS1,BRINP1
