ligand,receptor
APRIO,AGRG6
AR,EGFR
AREG,EGFR
AREG,ERBB2
AREG,ERBB3
AREG,ICAM1
ARF1,CHRM3
ARF1,INSR
ARF1,PLD2
ARF4,EGFR
ARF6,PLD1
ARF6,SMAP1
ARPC5,ADRB2
ARPC5,LDLR
ARPC5,LRP2
ARRB2,ADRB2
ARRB2,ENG
ARTN,GFRA1
ARTN,GFRA2
ARTN,GFRA3
ARTN,NCAM1
ARTN,RET
ASIP,ATRN
ASIP,F11R
ASIP,MC1R
ASIP,MC2R
ASIP,MC3R
ASIP,MC4R
ASIP,MC5R
ASIP,MGRN1
ASIP,MSHR
ASMT,MTNR1B
ATP1B1,NEGR1
AVP,ADCYAP1R1
AVP,ADRB2
AVP,ADRB3
AVP,AVPR1A
AVP,AVPR1B
AVP,AVPR2
AVP,GPR20
AVP,GPR84
AVP,LDLR
AVP,LRP2
AVP,OXTR
AVP,PTH1R
AVP,RAMP2
AVP,RAMP3
AVP,TSHR
AVP,VIPR1
AXL,ADAM17
AXL,EGFR
AXL,GAS6
AXL,IL1RL1
AXL,IL6R
AXL,KIR2DL5A
AXL,KIR3DL1
AXL,PILRA
AXL,PILRB
AXL,PTPRF
AXL,VSIG10L
AZGP1,ITGAV
B2M,CD1A
B2M,CD1B
B2M,CD1C
B2M,CD247
B2M,CD3D
B2M,CD3G
B2M,HFE
B2M,HLA-F
B2M,KIR2DL1
B2M,KIR2DL3
B2M,KIR3DL1
B2M,KLRC1
B2M,KLRC2
B2M,KLRD1
B2M,LILRB1
B2M,LILRB2
B2M,TFRC
BAG6,NCR3
BAG6,NCR3-PS
BAG6,NCTR3
BCAN,EGFR
BCAN,NRCAM
BDNF,BEX3
BDNF,DDR1
BDNF,DRD4
BDNF,ERBB2
BDNF,F11R
BDNF,GPR152
BDNF,NGFR
BDNF,NTRK2
BDNF,SORT
BDNF,SORT1
BDNF,TNR16
BGN,FGFR3
BGN,LY96
BGN,TLR1
BGN,TLR2
BGN,TLR4
BICD1,F2R
BMP1,BMPR1A
BMP1,BMPR1B
BMP1,BMPR2
BMP10,ACVR1
BMP10,ACVR2A
BMP10,ACVR2B
BMP10,ACVRL1
BMP10,BMPR1A
BMP10,BMPR1B
BMP10,BMPR2
BMP10,ENG
BMP10,FFAR2
BMP10,GPR152
BMP10,KIR2DL3
BMP10,KIR3DL1
BMP10,KIR3DS1
BMP10,VSIR
BMP15,ACVR1
BMP15,ACVR2A
BMP15,ACVR2B
BMP15,BMPR1A
BMP15,BMPR1B
BMP15,BMPR2
BMP15,TGFBR1
BMP2,ACVR1
BMP2,ACVR2A
BMP2,ACVR2B
BMP2,ACVRL1
BMP2,BMPR1A
BMP2,BMPR1B
BMP2,BMPR2
BMP2,ENG
BMP2,GPC1
BMP2,GREM1
BMP2,HJV
BMP2,RGMB
BMP2,SMO
BMP3,ACVR1
BMP3,ACVR1B
BMP3,ACVR2A
BMP3,ACVR2B
BMP3,BMPR1A
BMP3,BMPR1B
BMP3,BMPR2
BMP4,ACVR1
BMP4,ACVR2A
BMP4,ACVR2B
BMP4,ACVRL1
BMP4,BMPR1A
BMP4,BMPR1B
BMP4,BMPR2
BMP4,CFC1
BMP4,GREM2
BMP4,HJV
BMP4,LRP6
BMP4,RGMB
BMP5,ACVR1
BMP5,ACVR2A
BMP5,ACVR2B
BMP5,ACVRL1
BMP5,BMPR1A
BMP5,BMPR1B
BMP5,BMPR2
BMP5,HJV
BMP5,PTPRD
BMP6,ACVR1
BMP6,ACVR2A
BMP6,ACVR2B
BMP6,ACVRL1
BMP6,BMPR1A
BMP6,BMPR1B
BMP6,BMPR2
BMP6,HJV
BMP7,ACVR1
BMP7,ACVR1B
BMP7,ACVR2A
BMP7,ACVR2B
BMP7,ACVRL1
BMP7,BMPR1A
BMP7,BMPR1B
BMP7,BMPR2
BMP7,ENG
BMP7,HJV
BMP7,PTPRK
BMP8A,ACVR1
BMP8A,ACVR2A
BMP8A,ACVR2B
BMP8A,ACVRL1
BMP8A,BMPR1A
BMP8A,BMPR1B
