ligand,receptor
ENTP1,AA3R
ENTPD1,ADORA1
ENTPD1,ADORA2A
ENTPD1,ADORA2B
ENTPD1,ADORA3
ENTPD1,TMIGD3
EPCAM,CLDN1
EPCAM,CLDN7
EPGN,EGFR
EPHA1,FGFR1
EPHA1,FGFR3
EPHA1,GPI
EPHA2,EGFR
EPHA2,FGFR1
EPHA2,FGFR3
EPHA3,CD274
EPHA3,FGFR1
EPHA3,FGFR3
EPHA3,LILRA3
EPHA4,FGFR3
EPHA5,FGFR1
EPHA5,FGFR3
EPHA7,FGFR1
EPHA7,FGFR3
EPHA7,PILRB
EPHB6,FLT1
EPN1,ERBB3
EPO,CRLF3
EPO,EFNB2
EPO,EPHB4
EPO,EPOR
ERBB2,EPOR
ERBB2,ERBB3
ERBB4,DLK1
EREG,EGFR
EREG,ERBB2
EREG,ERBB3
EREG,ERBB4
ERFE,LRP1
ESAM,ESAM
ESM1,ITGAL
ESM1,ITGB2
ESR1,CAV1
ETV5,ERBB2
EXOC3-AS1,TRAF2
F10,F3
F10,ITGAM
F10,ITGB2
F11,GP1BA
F11,GP1BB
F11,GP5
F11,GP9
F11R,F11R
F11R,ITGAL
F11R,ITGB2
F11R,JAM2
F11R,JAM3
F11R,ULBP3
F12,CD93
F12,GP1BA
F12,GP1BB
F12,GP5
F12,GP9
F13A1,ITGA4
F13A1,ITGA9
F13A1,ITGB1
F2,F2R
F2,F2RL1
F2,F2RL2
F2,F2RL3
F2,GP1BA
F2,GP1BB
F2,GP9
F2,ITGA2B
F2,PARD3
F2,THBD
F2RL1,ATP2A2
F2RL1,F2R
F2RL1,PRNP
F3,ULBP3
F7,F3
F8,ASGR2
F8,LDLR
F8,LRP1
F8,LRP2
F8,LRP4
F9,LRP1
FABP5,RXRA
FADD,ABCA1
FADD,FAS
FADD,TRADD
FADD,TRAF2
FAM126B,ENG
FAM3B,LRP5
FAM3C,ADGRG5
FAM3C,CLEC2D
FAM3C,FFAR2
FAM3C,GLRA2
FAM3C,GPR42
FAM3C,HLA-C
FAM3C,KIR2DL3
FAM3C,LAMP1
FAM3C,LIFR
FAM3C,PDCD1
FAM3D,FPR1
FAM3D,FPR2
FAP,NPR2
FARP2,PLXNA1
FARP2,PLXNA2
FARP2,PLXNA3
FARP2,PLXNA4
FASL,FAS
FASLG,FAS
FASLG,TNFRSF10B
FASLG,TNFRSF1A
FASLG,TNFRSF6B
FAT4,DCHS1
FBLN1,ITGB1
FBLN1,VCAN
FBLN2,ITGB3
FBLN2,VCAN
FBN1,ITGA5
FBN1,ITGAV
FBN1,ITGB1
FBN1,ITGB3
FBN1,ITGB6
FCAMR,PILRA
FCAR,CD33
FCAR,PDCD1LG2
FCAR,SIGLEC10
FCAR,SIGLEC14
FCAR,SIGLEC6
FCAR,TNFRSF14
FCAR,VSIG8
FCER1A,PEAR1
FCER2,CR2
FCER2,FGFR2
FCER2,ITGAM
FCER2,ITGAV
FCER2,ITGAX
FCER2,ITGB2
FCER2,ITGB3
FCER2A,CR2
FCER2A,ITGAM
FCER2A,ITGAV
FCER2A,ITGAX
FCER2A,ITGB2
FCER2A,ITGB3
FCGR1A,CD72
FCGR1A,ILDR1
FCGR1A,LILRB3
FCGR1A,MOG
FCGR1A,PILRA
FCGR2A,BTNL8
FCGR2A,CD72
FCGR2A,ILDR1
FCGR2A,MOG
FCGR2A,MPZ
FCGR2A,PDCD1
FCGR2A,PDGFRB
FCGR2A,TARM1
FCGR2A,TIGIT
FCGR3B,EDA2R
FCGRT,CD300E
FCGRT,IGFLR1
FCGRT,LILRA2
FCGRT,LILRB2
FCGRT,SHISA4
FCN2,LRP1
FCRL1,VSIG8
FCRL4,JAML
FGA,CDH5
FGA,ITGA2B
FGA,ITGA5
FGA,ITGAD
FGA,ITGAM
FGA,ITGAV
FGA,ITGAX
FGA,ITGB1
FGA,ITGB2
FGA,ITGB3
FGA,PLAUR
FGA,TLR4
FGA,VCAM1
FGB,CDH5
FGB,ITGA2B
FGB,ITGA5
FGB,ITGAM
FGB,ITGAV
FGB,ITGB1
FGB,ITGB2
FGB,ITGB3
FGB,TLR4
FGB,VCAM1
FGF1,CD44
FGF1,CSPG4
FGF1,EGFR
FGF1,FGFR1
FGF1,FGFR2
FGF1,FGFR3
FGF1,FGFR4
FGF1,FGFRL1
FGF1,ITGAV
FGF1,ITGB3
FGF1,NRP1
FGF1,TGFBR3
FGF10,FGFR1
FGF10,FGFR2
FGF10,FGFR3
FGF10,FGFR4
FGF10,FGFRL1
FGF11,FGFR1
FGF11,FGFR2
FGF11,FGFR3
FGF11,FGFR4
FGF12,FGFR1
FGF12,FGFR2
FGF12,FGFR3
FGF12,FGFR4
FGF13,EGFR
FGF13,FGFR1
FGF13,FGFR2
FGF13,FGFR3
FGF13,FGFR4
FGF13,SCN5A
FGF13,SCN8A
FGF14,FGFR1
FGF14,FGFR2
FGF14,FGFR3
FGF14,FGFR4
FGF15,FGFR1
FGF15,FGFR2
FGF15,FGFR3
FGF15,FGFR4
FGF16,FGFR1
FGF16,FGFR2
FGF16,FGFR3
FGF16,FGFR4
FGF17,FGFR1
FGF17,FGFR2
FGF17,FGFR3
FGF17,FGFR4
FGF18,FGFR1
FGF18,FGFR2
FGF18,FGFR3
FGF18,FGFR4
FGF19,FGFR1
FGF19,FGFR2
FGF19,FGFR3
FGF19,FGFR4
FGF19,KLB
FGF2,CD44
FGF2,FGFR1
FGF2,FGFR2
FGF2,FGFR3
FGF2,FGFR4
FGF2,FGFRL1
FGF2,GPC4
FGF2,ITGAV
FGF2,ITGB3
FGF2,NRP1
FGF2,SDC1
FGF2,SDC2
FGF2,SDC3
FGF2,SDC4
FGF2,THBS1
FGF2,THBS2
FGF20,FGFR1
FGF20,FGFR2
FGF20,FGFR3
FGF20,FGFR4
FGF21,FGFR1
FGF21,FGFR2
FGF21,FGFR3
FGF21,FGFR4
FGF21,KLB
FGF22,FGFR1
FGF22,FGFR2
FGF22,FGFRL1
FGF23,FGFR1
FGF23,FGFR2
FGF23,FGFR3
FGF23,FGFR4
FGF23,KL
FGF23,PHEX
FGF3,FGFR1
FGF3,FGFR2
FGF3,FGFR3
FGF3,FGFR4
FGF3,FGFRL1
FGF4,FGFR1
FGF4,FGFR2
FGF4,FGFR3
FGF4,FGFR4
FGF4,FGFRL1
FGF4,NRP1
FGF5,FGFR1
FGF5,FGFR2
FGF5,FGFR3
FGF5,FGFR4
FGF6,FGFR1
FGF6,FGFR2
FGF6,FGFR3
FGF6,FGFR4
FGF6,SDC4
FGF7,FGFR1
FGF7,FGFR2
FGF7,FGFR3
FGF7,FGFR4
FGF7,NRP1
FGF8,FGFR1
FGF8,FGFR2
FGF8,FGFR3
FGF8,FGFR4
FGF8,FGFRL1
FGF9,FGFR1
FGF9,FGFR2
FGF9,FGFR3
FGF9,FGFR4
FGFR1,SDC4
FGFR2,CD44
FGFR2,CD83
FGFR2,EPHA4
FGFR2,FGFR1
FGFR2,NEGR1
FGFR2,PTPRR
FGFR2,RAMP1
FGFR2,ROS1
FGFR2,SDC4
FGFR2,XPR1
FGFR3,KL
FGFR3,LRRTM2
FGFR3,SDC4
FGFR4,BCAM
FGFR4,EPHA4
FGFR4,GPC6
FGFR4,KL
FGFR4,LAIR1
FGFR4,LILRA6
FGFR4,MCAM
FGFR4,PTPRD
FGFR4,PTPRR
FGFR4,PTPRS
FGFR4,SDC4
FGFR4,SIGLEC15
FGFR4,TGBR3
FGFR4,TNFRSF10A
FGFR4,UNC5A
FGFRL1,FGFR1
FGFRL1,GP6
FGFRL1,PLVAP
FGG,ITGA2B
FGG,ITGA5
FGG,ITGAV
FGG,ITGB1
FGG,ITGB2
FGG,ITGB3
FGG,TLR4
FGG,VCAM1
FGL1,EGFR
FGL1,LAG3
FLNA,CASR
FLNA,DRD2
FLNA,DRD3
FLNA,GRM4
FLNA,GRM5
FLNA,GRM7
FLNA,GRM8
FLNA,MTNR1A
FLNA,MTNR1B
FLNA,OPRM1
FLRT1,AGRL1
FLRT1,AGRL3
FLRT1,UNC5A
FLRT1,UNC5B
FLRT1,UNC5D
FLRT2,AGRL1
FLRT2,AGRL3
FLRT2,UNC5A
FLRT2,UNC5B
FLRT2,UNC5D
FLRT3,AGRL2
FLRT3,AGRL3
FLRT3,UNC5A
FLRT3,UNC5B
FLRT3,UNC5D
FLT1,CD300LB
FLT1,CD300LF
FLT1,EGFR
FLT1,ELFN1
FLT1,NRP1
FLT1,TREM2
FLT3L,FLT3
FLT3LG,FLT3
FLT4,ADAM21
FLT4,CEACAM4
FLT4,FCRL1
FLT4,FLRT2
FLT4,ILDR2
FLT4,KIR2DS5
FLT4,LILRB1
FLT4,MUC15
FLT4,NRP2
FMOD,TGFB1
FN1,C5AR1
FN1,CD44
FN1,CD79A
FN1,CD93
FN1,COL13A1
FN1,DPP4
FN1,ENG
FN1,FLT4
FN1,IL17RC
FN1,ITGA2
FN1,ITGA2B
FN1,ITGA3
FN1,ITGA4
FN1,ITGA5
FN1,ITGA6
FN1,ITGA8
FN1,ITGA9
FN1,ITGAD
FN1,ITGAV
FN1,ITGB1
FN1,ITGB2
FN1,ITGB3
FN1,ITGB6
FN1,ITGB7
FN1,ITGB8
FN1,LRP4
FN1,MAG
FN1,NT5E
FN1,PLAUR
FN1,ROBO4
FN1,SDC1
FN1,SDC2
FN1,SDC4
FN1,TMPRSS6
FN1,TNFRSF11B
FN1,TSHR
FNDC5,ITGAV
FNDC5,ITGB5
FRAS1_FREM1_NPNT,ITGA8
FRAS1_FREM1_NPNT,ITGB1
FRAS1_FREM2_NPNT,ITGA8
FRAS1_FREM2_NPNT,ITGB1
FRIH,SCAR5
FRIL,SCAR5
FRS3,FGFR1
FRZB,MYOC
FRZB,WNT1
FRZB,WNT8A
FSHB,ADCYAP1R1
FSHB,ADRB2
FSHB,ADRB3
FSHB,FSHR
FSHB,GPR20
FSHB,GPR84
FSHB,PTH1R
FSHB,RAMP2
FSHB,RAMP3
FSHB,TSHR
FSHB,VIPR1
FST,BMPR1B
FST,BMPR2
FST,HJV
FST,INHBA
FST,INHBE
FSTL1,DIP2A
FSTL5,CD86
FSTL5,CEACAM19
FSTL5,CHL1
FSTL5,CNTN5
FSTL5,GP6
FSTL5,IL6R
FSTL5,LILRA1
FSTL5,LILRB2
FSTL5,SDK2
FSTL5,SIGLEC6
FYN,SPN
FYN,THY1
FZD7,PRNP
FZD8,CKAP4
GABRB2,HTR1A
GAD1,GRM4
GAL,ADRA2A
GAL,GALR1
GAL,GALR2
GAL,GALR3
GAL,GPR151
GAL,GRM7
GAL,HLA-DPA1
GAL,MTNR1A
GALA,GALR1
GALA,GALR2
GALA,GALR3
GALP,GALR1
GALP,GALR2
GALP,GALR3
GAS6,AXL
GAS6,MERTK
GAS6,TYRO3
GAS6,UFO
GAST,AGRG1
GAST,CCKAR
GAST,CCKBR
GAST,GASR
GAST,GPR152
GAST,KIR2DL3
GC,LRP2
GCG,ADCYAP1R1
GCG,ADRB2
GCG,ADRB3
GCG,DPP4
GCG,FAP
GCG,GCGR
GCG,GIPR
GCG,GLP1R
GCG,GLP2R
GCG,GPR20
GCG,GPR84
GCG,PTH1R
GCG,RAMP2
GCG,RAMP3
GCG,TSHR
GCG,VIPR1
GDF1,ACVR1
GDF1,ACVR1B
GDF1,ACVR1C
GDF1,ACVR2A
GDF1,ACVR2B
GDF1,BMPR1A
GDF1,BMPR1B
GDF1,BMPR2
GDF1,HTR4
GDF1,SMAD3
GDF1,TGFBR1
GDF10,ACVR1B
GDF10,ACVR1C
GDF10,ACVR2A
GDF10,ACVR2B
GDF10,BMPR1A
GDF10,BMPR1B
GDF10,BMPR2
GDF10,TGFBR1
GDF11,ACVR1B
GDF11,ACVR1C
GDF11,ACVR2A
GDF11,ACVR2B
GDF11,ANTXR1
GDF11,BMPR1A
GDF11,BMPR1B
GDF11,BMPR2
GDF11,TGFBR1
GDF15,GFRAL
GDF15,RET
GDF15,TGFBR2
GDF2,ACVR1
GDF2,ACVR2A
GDF2,ACVR2B
GDF2,ACVRL1
GDF2,BMPR1A
GDF2,BMPR1B
GDF2,BMPR2
GDF2,ENG
GDF3,ACVR1B
GDF3,ACVR1C
GDF3,ACVR2A
GDF3,ACVR2B
GDF3,BMPR1A
GDF3,BMPR1B
GDF3,BMPR2
GDF3,TDGF1
GDF3,TGFBR1
GDF5,ACVR1
GDF5,ACVR2A
GDF5,ACVR2B
GDF5,BMPR1A
GDF5,BMPR1B
GDF5,BMPR2
GDF5,ROR2
GDF6,ACVR2A
GDF6,ACVR2B
GDF6,BMPR1A
GDF6,BMPR1B
GDF6,BMPR2
GDF7,ACVR1B
GDF7,ACVR1C
GDF7,ACVR2A
GDF7,ACVR2B
GDF7,BMPR1A
GDF7,BMPR1B
GDF7,BMPR2
GDF7,TGFBR1
GDF9,ACVR1B
GDF9,ACVR1C
GDF9,ACVR2A
GDF9,ACVR2B
GDF9,BMPR1A
GDF9,BMPR1B
GDF9,BMPR2
GDF9,FXYD6
GDF9,ORAI2
GDF9,TGFBR1
GDNF,EDNRB
GDNF,GFRA1
GDNF,GFRA2
GDNF,GFRA3
GDNF,NCAM1
GDNF,RET
GDNF,SLC44A5
GFAP,APLNR
GFRA1,TREM2
GGT1,CD53
GGT1,CD81
GGT1,CD82
GGT2,CD81
GH,GHR
GH,PRLR
GH1,EPOR
GH1,GHR
GH1,PRLR
GH2,GHR
GHR,EPOR
GHRH,ADCYAP1R1
GHRH,ADRB2
GHRH,ADRB3
GHRH,DPP4
GHRH,GHRHR
GHRH,GHSR
GHRH,GPR20
GHRH,GPR84
GHRH,PTH1R
GHRH,RAMP2
GHRH,RAMP3
GHRH,TSHR
GHRH,VIPR1
GHRH,VIPR2
GHRL,GHRHR
GHRL,GHSR
GHRL,GPR39
GHRL,MLNR
GHRL,PTGER3
GHRL,PTGIR
GHRL,TBXA2R
GIP,ADCYAP1R1
GIP,ADRB2
GIP,ADRB3
GIP,DPP4
GIP,FAP
GIP,GIPR
GIP,GPR20
GIP,GPR84
GIP,INSR
GIP,PTH1R
GIP,RAMP2
GIP,RAMP3
GIP,TSHR
GIP,VIPR1
GLG1,MOG
GLG1,UNC5B
GLUC,GLP1R
GLUC,GLP2R
GLUC,GLR
GNA13,TBXA2R
GNA15,GRM2
GNA15,GRM4
GNAI1,HTR1A
GNAI2,ADCY1
GNAI2,ADCY7
GNAI2,ADCY8
GNAI2,ADCY9
GNAI2,ADORA1
GNAI2,ADRA2A
GNAI2,ADRA2B
GNAI2,AGTR2
GNAI2,C5AR1
GNAI2,CAV1
GNAI2,CCR5
GNAI2,CHRM1
GNAI2,CNR1
GNAI2,CXCR1
GNAI2,CXCR2
GNAI2,CXCR3
GNAI2,DRD2
GNAI2,EDNRA
GNAI2,EDNRB
GNAI2,EGFR
GNAI2,F2R
GNAI2,FPR1
GNAI2,HTR1A
GNAI2,IGF1R
GNAI2,LHCGR
GNAI2,LPAR3
GNAI2,MTNR1A
GNAI2,MTNR1B
GNAI2,OPRD1
GNAI2,OPRM1
GNAI2,P2RY12
GNAI2,PTPRU
GNAI2,S1PR1
GNAI2,S1PR3
GNAI2,S1PR4
GNAI2,S1PR5
GNAI2,TBXA2R
GNAI2,TSHR
GNAI2,UNC5B
GNAI3,AGTR2
GNAI3,HTR1A
GNAS,ADCY1
GNAS,ADCY7
GNAS,ADCY8
GNAS,ADCY9
GNAS,ADORA1
GNAS,ADRB2
GNAS,ADRB3
GNAS,AVPR2
GNAS,CRHR1
GNAS,GCGR
GNAS,GLP1R
GNAS,HTR6
GNAS,LHCGR
GNAS,PTGDR
GNAS,PTGIR
GNAS,TSHR
GNAS,VIPR1
GNB1,GRM7
GNB3,GABBR2
GNB3,TGFBR1
GNRH1,GNRHR
GNRH1,GNRHR2
GNRH2,GNRHR
GON1,GNRHR
GON1,GNRR2
GON2,GNRHR
GON2,GNRR2
GP15L,GPR15
GP15L,SUSD2
GP1BA,ITGAM
GP1BA,ITGB2
GP1BA,SELP
GP1BB,ITGAM
GP1BB,ITGB2
GP1BB,SELP
GP5,ITGAM
GP5,ITGB2
GP5,LAYN
GP5,SELP
GP5_GP9,GP1BA
GP5_GP9,GP1BB
GP6,ITGA2
GP6,ITGB1
GP9,ITGAM
GP9,ITGB2
GP9,SELP
GPC1,TNFRSF11B
GPC3,CD81
GPC3,FGFR4
GPC3,FLT1
GPC3,IGF1R
GPC3,LRP1
GPC3,LRP2
GPC3,TNFRSF11B
GPC3,UNC5C
GPC3,UNC5D
GPC3,VSIG10L
GPC4,FGFR4
GPC4,FGFRL1
GPC4,FLT1
GPC4,IGDCC4
GPC4,TNFRSF11B
GPC6,FGFRL1
GPC6,LRP1
GPC6,LRP2
GPHA2,ADGRV1
GPHA2,EPHA6
GPHA2,TSHR
GPHB5,TSHR
GPI,AMFR
GPI,NTRK1
GPR15L,GPR15
GPR26,HTR1A
GPR37,FA2H
GPR37,GABBR1
GPR37,SLC3A2
GPR37,TMEM161A
GPR37,TTYH1
GPR37,YIF1A
GPR37,YIF1B
GRB7,ERBB2
GRB7,ERBB3
GREM1,KDR
GRK2,GRM1
GRK5,ADRB2
GRN,CLEC4M
GRN,EGFR
GRN,NTRK1
GRN,SORT1
GRN,TNFRSF1A
GRN,TNFRSF1B
GROA,ACKR1
GROA,CXCR1
GROA,CXCR2
GRP,BRS3
GRP,FAP
GRP,GRPR
GRP,NMBR
GSTM2,RYR2
GSTO1,RYR1
GSTP1,EGFR
GSTP1,TRAF2
GUCA1A,GUCY2D
GUCA1A,GUCY2F
GUCA1B,GUCY2D
GUCA1B,GUCY2F
GUCA2A,GUCY2C
GUCA2B,GUCY2C
GUCA2B,GUCY2D
GUCY2D,NECTIN3
GUCY2D,NECTIN4
GZMA,F2R
GZMA,F2RL1
GZMA,F2RL2
GZMA,F2RL3
GZMA,PARD3
GZMB,CHRM3
GZMB,IGF2R
GZMB,PGRMC1
HAPLN1,ADGRA2
HAPLN1,AGER
HAPLN1,IGDCC4
HAPLN1,IL1RL1
HAPLN1,MICA
HAPLN1,MPIG6B
HAPLN1,PRTG
HAPLN1,TNFRSF11B
HAPLN1,TREML2
HAS1,CD44
HAS2,CD44
HAS2,ERBB2
HAS2,HMMR
HAVCR1,BTN3A3
HAVCR1,CD300LB
HAVCR1,HAVCR1
HAVCR1,IGSF21
HAVCR1,SIGLEC1
HBEGF,CD44
HBEGF,CD82
HBEGF,CD9
HBEGF,EGFR
HBEGF,ERBB2
HBEGF,ERBB4
HBEGF,MOG
HBEGF,PRLR
HC,C5AR1
HCRT,HCRTR1
HCRT,HCRTR2
HCRT,NPFFR2
HDC,HRH1
HDC,HRH2
HDC,HRH3
HDC,HRH4
HEBP1,ADRA2A
HEBP1,FPR3
HEBP1,GRM7
HEBP1,MTNR1A
HFE,TFR1
HGF,CD44
HGF,ITGB1
HGF,MET
HGF,NRP1
HGF,SDC1
HGF,SDC2
HGF,ST14
HGFL,RON
HHIPL2,CACHD1
HHLA2,TMIGD2
HHLA2,VSIG8
HHLA2,VSTM2B
HHLA3,CHRM3
HLAA,KI3L1
HLA-A,APLP2
HLA-A,CD3D
HLA-A,CD3G
HLA-A,CD8A
HLA-A,CD8B
HLA-A,CD8B2
HLA-A,ERBB2
HLA-A,KIR2DL1
HLA-A,KIR2DL2
HLA-A,KIR2DL3
HLA-A,KIR2DS4
HLA-A,KIR3DL1
HLA-A,KIR3DL2
HLA-A,KLRD1
HLA-A,LILRA1
HLA-A,LILRB1
HLA-A,LILRB2
HLAB,KI3L2
HLA-B,CANX
HLA-B,CD3D
HLA-B,CD3G
HLA-B,CD8A
HLA-B,CD8B
HLA-B,CD8B2
HLA-B,KIR2DL1
HLA-B,KIR2DL3
HLA-B,KIR3DL1
HLA-B,KIR3DL2
HLA-B,KLRD1
HLA-B,LILRA1
HLA-B,LILRB1
HLA-B,LILRB2
HLA-B,SIGLEC10
HLAC,KI2L1
HLAC,KI2L3
HLA-C,CD3D
HLA-C,CD3G
HLA-C,CD53
HLA-C,CD81
HLA-C,CD8A
HLA-C,CD8B
HLA-C,CD8B2
HLA-C,DDR1
HLA-C,KIR2DL1
HLA-C,KIR2DL2
HLA-C,KIR2DL3
HLA-C,KIR2DL5A
HLA-C,KIR2DS1
HLA-C,KIR2DS2
HLA-C,KIR2DS4
HLA-C,KIR2DS5
HLA-C,KIR3DL1
HLA-C,KIR3DL3
HLA-C,LILRA1
HLA-C,LILRA3
HLA-C,LILRB1
HLA-C,LILRB2
HLA-C,NOTCH4
HLA-C,SLC9C2
HLA-DMA,CD4
HLA-DMB,CD4
HLA-DOA,CD4
HLA-DOB,CD4
HLA-DPA1,CD4
HLA-DPA1,LAG3
HLA-DPB1,CD4
HLA-DPB1,LAG3
HLA-DQA1,CD4
HLA-DQA1,LAG3
HLA-DQA2,CD4
HLA-DQA2,LAG3
HLA-DQB1,CD4
HLA-DQB1,LAG3
HLA-DQB2,LAG3
HLA-DRA,CD19
HLA-DRA,CD37
HLA-DRA,CD4
HLA-DRA,CD53
HLA-DRA,CD63
HLA-DRA,CD81
HLA-DRA,CD82
HLA-DRA,CD9
HLA-DRA,CR2
HLA-DRA,LAG3
HLA-DRB1,CD19
HLA-DRB1,CD37
HLA-DRB1,CD4
HLA-DRB1,CD53
HLA-DRB1,CD81
HLA-DRB1,CD82
HLA-DRB1,CR2
HLA-DRB1,LAG3
HLA-DRB3,CD4
HLA-DRB3,LAG3
HLA-DRB4,CD4
HLA-DRB4,LAG3
HLA-DRB5,CD4
HLA-DRB5,LAG3
HLAE,NKG2A
HLAE,NKG2C
HLAE,NKG2D
HLAE,VISTA
HLA-E,CD8A
HLA-E,CD8B
HLA-E,CD8B2
HLA-E,CD94:NKG2A
HLA-E,CD94:NKG2C
HLA-E,CD94:NKG2E
HLA-E,KIR3DL1
HLA-E,KLRC1
HLA-E,KLRC2
HLA-E,KLRC3
HLA-E,KLRD1
HLA-E,KLRK1
HLA-E,SLC16A4
HLAF,KI3L1
HLAF,KI3L2
HLAF,KI3S1
HLAF,LIRB1
HLAF,LIRB2
HLAF,VISTA
HLA-F,CD8A
HLA-F,CD8B
HLA-F,CD8B2
HLA-F,KIR3DL1
HLA-F,KIR3DL2
HLA-F,KIR3DS1
HLA-F,LILRB1
HLA-F,LILRB2
HLAG,LIRB1
HLAG,LIRB2
HLA-G,CD4
HLA-G,CD8A
HLA-G,CD8B
HLA-G,CD8B2
HLA-G,KIR2DL4
HLA-G,KIR3DL1
HLA-G,KLRC1
HLA-G,KLRD1
HLA-G,LILRB1
HLA-G,LILRB2
HMGB1,AGER
HMGB1,CD163
HMGB1,CXCR4
HMGB1,HAVCR2
HMGB1,SDC1
HMGB1,THBD
HMGB1,TLR2
HMGB1,TLR4
HMGB1,TLR9
HP,ASGR1
HP,ASGR2
HP,CD163
HP,CD22
HP,ITGAM
HP,ITGB2
HP,TLR4
HPGDS,PTGDR
HPGDS,PTGDR2
HPX,LRP1
HRAS,AGTR1
HRAS,CAV1
HRAS,GRIN2D
HRAS,INSR
HRAS,SDC2
HRAS,TLR2
HRAS,TLR9
HRG,ERBB2
HRG,ERBB3
HRG,FCGR1A
HSP90AA1,CFTR
HSP90AA1,EGFR
HSP90AA1,ERBB2
HSP90AA1,FGFR3
HSP90AA1,ITGB3
HSP90AA1,LRP1
HSP90AB1,ERBB2
HSP90B1,ASGR1
HSP90B1,ERBB2
HSP90B1,LRP1
HSP90B1,TLR1
HSP90B1,TLR2
HSP90B1,TLR4
HSP90B1,TLR7
HSP90B1,TLR9
HSPA1A,GRIN2D
HSPA1A,TLR4
HSPA4,TLR4
HSPA8,ADRB2
HSPA8,LDLR
HSPA8,LRP2
HSPG2,CHRM3
HSPG2,COL13A1
HSPG2,DAG1
HSPG2,FGFR1
HSPG2,ITGA2
HSPG2,ITGB1
HSPG2,LRP1
HSPG2,LRP2
HSPG2,PTPRS
HSPG2,SDC1
HTR1B,HTR1A
HTR1D,HTR1A
HTR4,GPR37
HTR6,ATXN10
HUNIN,FPR2
HUNIN,FPR3
IAPP,ADCYAP1R1
IAPP,ADRB2
IAPP,ADRB3
IAPP,CALCR
IAPP,CALCRL
IAPP,GPR20
IAPP,GPR84
IAPP,PTH1R
IAPP,RAMP1
IAPP,RAMP2
IAPP,RAMP3
IAPP,TSHR
IAPP,VIPR1
IBP3,TM219
IBSP,ITGAV
IBSP,ITGB3
IBSP,ITGB5
ICAM1,CAV1
ICAM1,EGFR
ICAM1,EZR
ICAM1,IL2RA
ICAM1,IL2RG
ICAM1,ITAL
ICAM1,ITGAD
ICAM1,ITGAL
ICAM1,ITGAM
ICAM1,ITGAX
ICAM1,ITGB2
ICAM1,LEUK
ICAM1,MSN
ICAM1,MUC1
ICAM1,SPN
ICAM1,VCAM1
ICAM2,CD209
ICAM2,ITGAL
ICAM2,ITGAM
ICAM2,ITGB2
ICAM3,CD209
ICAM3,CLC4M
ICAM3,CLEC4M
ICAM3,ITGAD
ICAM3,ITGAL
ICAM3,ITGB2
ICAM4,ITGA2B
ICAM4,ITGA4
ICAM4,ITGAL
ICAM4,ITGAM
ICAM4,ITGAV
ICAM4,ITGB1
ICAM4,ITGB2
ICAM4,ITGB3
ICAM4,RHAG
ICAM5,CD209
ICAM5,IGDCC4
ICAM5,ITGAL
ICAM5,ITGB2
ICAM5,MICA
ICAM5,PDCD1LG2
ICAM5,PRTG
ICOSL,CD28
ICOSL,CTLA4
ICOSL,ICOS
ICOSLG,CD28
ICOSLG,CTLA4
ICOSLG,ICOS
ICOSLG,NTM
IDE,INS
IFITM1,CD81
IFNA1,CR2
IFNA1,IFNA2
IFNA1,IFNAR1
IFNA1,IFNAR2
IFNA10,IFNA2
IFNA10,IFNAR1
IFNA10,IFNAR2
IFNA13,IFNAR1
IFNA13,IFNAR2
IFNA14,IFNA2
IFNA14,IFNAR1
IFNA14,IFNAR2
IFNA16,IFNA2
IFNA16,IFNAR1
IFNA16,IFNAR2
IFNA17,IFNA2
IFNA17,IFNAR1
IFNA17,IFNAR2
IFNA2,CR2
IFNA2,IFNA2
IFNA2,IFNAR1
IFNA2,IFNAR2
IFNA21,IFNA2
IFNA21,IFNAR1
IFNA21,IFNAR2
IFNA4,IFNA2
IFNA4,IFNAR1
IFNA4,IFNAR2
IFNA5,IFNA2
IFNA5,IFNAR1
IFNA5,IFNAR2
IFNA6,IFNA2
IFNA6,IFNAR1
IFNA6,IFNAR2
IFNA7,IFNA2
IFNA7,IFNAR1
IFNA7,IFNAR2
IFNA8,GPR152
IFNA8,IFNA2
IFNA8,IFNAR1
IFNA8,IFNAR2
IFNA9,IFNAR1
IFNA9,IFNAR2
IFNAR1,ERBB3
IFNAR2,ERBB3
IFNB1,IFNA2
IFNB1,IFNAR1
IFNB1,IFNAR2
IFNE,ADGRV1
IFNE,IFNA2
IFNE,IFNAR1
IFNE,IFNAR2
IFNG,IFNG
IFNG,IFNGR1
IFNG,IFNGR2
IFNG,MPL
IFNGR1,FCAR
IFNGR2,EPOR
IFNK,IFNA2
IFNK,IFNAR1
IFNK,IFNAR2
IFNL1,IFNLR1
IFNL1,IL10RB
IFNL2,IFNLR1
IFNL2,IL10RB
IFNL3,IFNL3
IFNL3,IFNLR1
IFNL3,IL10RB
IFNL4,IFNLR1
IFNL4,IL10RB
IFNW1,IFNA2
IFNW1,IFNAR1
IFNW1,IFNAR2
IGDCC3,ILDR1
IGDCC4,PLB1
IGF1,IGF1R
IGF1,IGF2R
IGF1,INSR
IGF1,ITGA6
IGF1,ITGAV
IGF1,ITGB3
IGF1,ITGB4
IGF1R,EGFR
IGF1R,GHR
IGF2,GPR152
IGF2,IGF1R
IGF2,IGF2R
IGF2,INSR
IGF2,ITGA6
IGF2,ITGAV
IGF2,ITGB3
IGF2,ITGB4
IGF2,MPRI
