lncRNA,target
LINC00158,EWSR1
LINC00158,SFPQ
LINC00158,SMARCA4
LINC00159,CELF4
LINC00159,ELAVL3
LINC00159,ELAVL2
LINC00159,EWSR1
LINC00159,RBMX
LINC00159,SFPQ
LINC00174,CELF4
LINC00174,ELAVL3
LINC00174,MBNL2
LINC00174,QKI
LINC00174,SPPL3
LINC00174,ELAVL2
LINC00174,EWSR1
LINC00174,YTHDC1
LINC00205,CDK6
LINC00205,FUS
LINC00205,CSDE1
LINC00240,AGO2
LINC00240,AGO3
LINC00240,AGO4
LINC00240,FTO
LINC00240,STAT3
LINC00240,EWSR1
LINC00240,RBMX
LINC00240,SFPQ
LINC00240,SSB
LINC00265,SPPL3
LINC00265,EGFR
LINC00265,RBMX
LINC00276,DDX3X
LINC00276,FTO
LINC00276,MBNL2
LINC00276,EWSR1
LINC00276,RBMX
LINC00276,SFPQ
LINC00276,SSB
LINC00276,YTHDC1
LINC00290,AGO2
LINC00290,AGO3
LINC00290,AGO4
LINC00290,RBMX
LINC00290,SFPQ
LINC00290,SRSF2
LINC00299,AGO2
LINC00299,AGO3
LINC00299,AGO4
LINC00299,CELF4
LINC00299,ELAVL3
LINC00299,ELAVL2
LINC00299,EWSR1
LINC00299,RBMX
LINC00299,SFPQ
LINC00299,SRSF2
LINC00320,DDX3X
LINC00320,MBNL2
LINC00320,CTNNB1
LINC00320,SFPQ
LINC00342,SPPL3
LINC00342,MDM2
LINC00342,PTEN
LINC00343,MBNL2
LINC00343,RNMT
LINC00343,EWSR1
LINC00343,SFPQ
LINC00467,IP6K2
LINC00467,LARP4B
LINC00467,SPPL3
LINC00467,EWSR1
LINC00467,SFPQ
LINC00486,MBNL2
LINC00486,EWSR1
LINC00486,HDAC9
LINC00486,RBM39
LINC00486,RBMX
LINC00486,SFPQ
LINC00486,SMARCA4
LINC00486,SSB
LINC00486,YTHDC1
LINC00499,CELF4
LINC00499,DDX3X
LINC00499,ELAVL3
LINC00499,MBNL2
LINC00499,ELAVL2
LINC00499,EWSR1
LINC00499,SFPQ
LINC00504,PKM
LINC00511,STXBP4
LINC00511,PKM
LINC00511,CDK6
LINC00511,JAK2
LINC00511,CCND2
LINC00511,BCL2
LINC00511,ABCB1
LINC00511,AGO2
LINC00511,AGO3
LINC00511,AGO4
LINC00511,CELF4
LINC00511,ELAVL3
LINC00511,FTO
LINC00511,MBNL2
LINC00511,QKI
LINC00511,SPPL3
LINC00511,KDM2A
LINC00511,ELAVL2
LINC00511,EWSR1
LINC00511,HDAC9
LINC00511,KDM1A
LINC00511,RBMX
LINC00511,SFPQ
LINC00511,SMARCA4
LINC00511,SRSF2
LINC00511,SSB
LINC00534,AGO2
LINC00534,AGO3
LINC00534,AGO4
LINC00534,CELF4
LINC00534,DDX3X
LINC00534,ELAVL3
LINC00534,MBNL2
LINC00534,SPPL3
LINC00534,ELAVL2
LINC00534,EWSR1
LINC00534,HDAC9
LINC00534,RBMX
LINC00534,SFPQ
LINC00534,SMARCA4
LINC00534,SSB
LINC00534,YTHDC1
LINC00578,AGO2
LINC00578,AGO3
LINC00578,AGO4
LINC00578,DDX3X
LINC00578,MBNL1
LINC00578,MBNL2
LINC00578,RNMT
LINC00578,SPPL3
LINC00578,EWSR1
LINC00578,HDAC9
LINC00578,RBMX
LINC00578,SFPQ
LINC00578,SMARCA4
LINC00578,SSB
LINC00578,YTHDC1
LINC00609,MBNL2
LINC00609,SPPL3
LINC00609,HDAC9
LINC00609,SFPQ
LINC00609,SMARCA4
LINC00623,CELF4
LINC00623,ELAVL3
LINC00623,FTO
LINC00623,ELAVL2
LINC00623,EWSR1
LINC00623,RBFOX2
LINC00623,SFPQ
LINC00623,SSB
LINC00630,AGO2
LINC00630,AGO3
LINC00630,AGO4
LINC00630,CELF4
LINC00630,DDX3X
LINC00630,ELAVL3
LINC00630,FTO
LINC00630,MBNL2
LINC00630,QKI
LINC00630,SPPL3
LINC00630,ELAVL2
LINC00630,EWSR1
LINC00630,HDAC9
LINC00630,RBMX
LINC00630,SFPQ
LINC00630,SMARCA4
LINC00639,AGO2
LINC00639,AGO3
LINC00639,AGO4
LINC00639,DDX3X
LINC00639,EWSR1
LINC00639,RBMX
LINC00639,SFPQ
LINC00641,ATG5
LINC00641,ZBTB20
LINC00641,ELAVL1
LINC00641,FTO
LINC00641,MBNL2
LINC00641,SPPL3
LINC00641,EWSR1
LINC00641,RBFOX2
LINC00641,SRSF2
LINC00662,ITPR1
LINC00662,ROCK1
LINC00662,AGO2
LINC00662,AGO3
LINC00662,AGO4
LINC00662,ELAVL1
LINC00662,FTO
LINC00662,LARP4B
LINC00662,MBNL2
LINC00662,SPPL3
LINC00662,EWSR1
LINC00662,SFPQ
LINC00665,MAP4K3
LINC00665,PAK2
LINC00665,FZD3
LINC00665,FTO
LINC00665,LARP4B
LINC00665,MBNL2
LINC00665,SPPL3
LINC00665,E2F3
LINC00665,EWSR1
LINC00665,RBFOX2
LINC00667,SLC2A3
LINC00667,CELF4
LINC00667,ELAVL1
LINC00667,ELAVL3
LINC00667,FTO
LINC00667,MBNL2
LINC00667,SPPL3
LINC00667,ELAVL2
LINC00667,EWSR1
LINC00667,HDAC9
LINC00667,SFPQ
LINC00710,SFPQ
LINC00839,SPPL3
LINC00839,SFPQ
LINC00844,NDRG1
LINC00856,AGO2
LINC00856,AGO3
LINC00856,AGO4
LINC00856,MBNL2
LINC00856,EWSR1
LINC00856,RBFOX2
LINC00856,RBMX
LINC00856,SFPQ
LINC00863,SPPL3
LINC00871,AGO2
LINC00871,AGO3
LINC00871,AGO4
LINC00871,CELF4
LINC00871,DDX3X
LINC00871,ELAVL3
LINC00871,MBNL2
LINC00871,SPPL3
LINC00871,ELAVL2
LINC00871,EWSR1
LINC00871,HDAC9
LINC00871,RBMX
LINC00871,SFPQ
LINC00871,SMARCA4
LINC00877,AGO2
LINC00877,AGO3
LINC00877,AGO4
LINC00877,DDX3X
LINC00877,MBNL2
LINC00877,HDAC9
LINC00877,RBFOX2
LINC00877,RBMX
LINC00877,SFPQ
LINC00877,SMARCA4
LINC00886,AGO2
LINC00886,AGO3
LINC00886,AGO4
LINC00886,MBNL1
LINC00886,MBNL2
LINC00886,QKI
LINC00886,SPPL3
LINC00886,EWSR1
LINC00886,SFPQ
LINC00886,YTHDC1
LINC00903,AGO2
LINC00903,AGO3
LINC00903,AGO4
LINC00903,MBNL2
LINC00907,DDX3X
LINC00907,MBNL2
LINC00907,SPPL3
LINC00907,EWSR1
LINC00907,HDAC9
LINC00907,SFPQ
LINC00907,SMARCA4
LINC00907,SSB
LINC00937,RBFOX2
LINC00937,SFPQ
LINC00937,SSB
LINC00970,SPPL3
LINC00970,EWSR1
LINC00970,RBMX
LINC00970,SFPQ
LINC00970,SMARCA4
LINC01060,SPPL3
LINC01060,EWSR1
LINC01060,HDAC9
LINC01060,RBFOX2
LINC01060,SFPQ
LINC01060,SMARCA4
LINC01060,SRSF2
LINC01060,SSB
LINC01088,AGO2
LINC01088,AGO3
LINC01088,AGO4
LINC01088,CELF4
LINC01088,DDX3X
LINC01088,ELAVL3
LINC01088,MBNL2
LINC01088,ELAVL2
LINC01088,EWSR1
LINC01088,HDAC9
LINC01088,SFPQ
LINC01088,SMARCA4
LINC01088,SSB
LINC01278,SMAD2
LINC01278,SMAD3
LINC01551,ADAM10
LINC01619,FOXO1
LINC02882,TNKS2
LIPE-AS1,AGO2
LIPE-AS1,AGO3
LIPE-AS1,AGO4
LIPE-AS1,CELF4
LIPE-AS1,ELAVL3
LIPE-AS1,FTO
LIPE-AS1,MBNL2
LIPE-AS1,QKI
LIPE-AS1,SPPL3
LIPE-AS1,ELAVL2
LIPE-AS1,EWSR1
LIPE-AS1,RBFOX2
